nu	A2	M12	M22	A3	M13	M23	M33	A4	M14	M24	M34	M44
0	0.7655661376911232	0.0	0.0	0.7655661376911232	0.0	0.0	0.0	0.7655661376911232	0.0	0.0	0.0	0.0
1	0.23249963802387752	1.5564682335490512	0.12335877343847965	0.2460531109927463	1.556840305195298	0.11615395602914244	-0.0011306417285412253	0.18713009142196407	1.5806743806991697	0.1688856793140405	-0.009901852950645053	-0.005690594311933931
2	0.028647621937094938	2.3312350742860746	0.37827230121253314	0.030014563297483296	2.4096284858824317	0.33634501953424906	-0.05044762846785142	0.02757493128697246	2.4173565454650228	0.4517797532139825	-0.16111476200354086	-0.059133425278617244
3	0.00886752796003322	2.683921931536733	0.31587560078027527	0.008781656213882218	2.7482013674488597	0.310620856521044	-0.038561307110405216	-inf	nan	nan	nan	nan
4	0.0028476247770515915	2.877122938765913	0.27002406703577625	0.002815713255829069	2.9467495529530607	0.2680560148507469	-0.028609668721326125	inf	nan	nan	nan	nan
5	0.0009241678831644617	3.0034667113820097	0.24139714915363475	0.0009369493110653601	3.0730548527339474	0.23264119592550506	-0.0215390889505711	0.0009426006352414058	3.0913699747089773	0.2330484125386378	-0.028400111830369567	-0.0009508945225527454
6	0.0003057609002895666	3.09326962161339	0.21908031678092657	0.0003161258733145626	3.151003762802008	0.2074851560970606	-0.015098068939838255	0.0003182271544898331	3.1589653467458203	0.20615599618858305	-0.017097248542954472	-0.00016664208886027143
7	0.00010290789875560017	3.160241940103362	0.20046607846404998	0.00010636607990568448	3.196015867013853	0.1917230472353454	-0.008664978256087431	0.00010664113125680408	3.2000039257109205	0.19460139097584447	-0.010985598749747184	-0.0006044442271264651
8	3.51149063672375e-05	3.2120506265521858	0.18461310870041275	3.6154355362238936e-05	3.234734388865385	0.17818742606123664	-0.005182769701047542	3.487667405359882e-05	3.215720276739079	0.20005379594517653	-0.005426702093013705	-0.0027487287854712516
9	1.2114217330675308e-05	3.253303542749145	0.17096031890924504	1.2402025118584903e-05	3.2677092125980294	0.16647989366862137	-0.0032000144101765183	1.1627686229194328e-05	3.2401856169733882	0.19659890067654473	-0.0020370735238159866	-0.003602259426113735
10	4.215834891997403e-06	3.286894628410451	0.15910895807910527	4.280789278483956e-06	3.295119833127672	0.15652427464461294	-0.0018829389741576129	3.902751194221534e-06	3.262820393230516	0.1920421368036137	0.0004231191665933639	-0.0040170889116384395
11	1.4765421459077877e-06	3.3146224682661085	0.14883921033365138	1.4838767931742174e-06	3.317963824163785	0.1480684501448137	-0.0009296232159909924	1.3146848859288807e-06	3.282479052246205	0.18790429159993477	0.0024860796720815766	-0.004299529183113918
12	5.185527254134327e-07	3.3374665045921748	0.14021533626487828	5.157113815147552e-07	3.337142440335225	0.14089578426553753	-0.00020425176556706503	4.441176597656346e-07	3.2996171988742082	0.18428148199228236	0.004322697711167936	-0.004517403677453453
13	1.816879792612545e-07	3.355997953405199	0.13347288324904605	1.794155440217735e-07	3.35334850807927	0.13486332004567375	0.0003640399112995841	1.5041101444977066e-07	3.314777653144894	0.18106192141967453	0.005992421941257937	-0.004688877086701947
14	6.324937032795442e-08	3.3708773508542764	0.1286674820839377	6.238214567182247e-08	3.367132758284289	0.12989002427843888	0.0008092761560558181	5.1061347492745354e-08	3.3283999108107087	0.17815511221390945	0.007507808630024104	-0.004827404595116941
15	2.1847722641131856e-08	3.3829485707377263	0.12554618557110936	2.1645002482608907e-08	3.37897425248836	0.12592775814559706	0.001142065374489216	1.7372657438649875e-08	3.340826479759832	0.17551132202144568	0.008858771932374073	-0.004947064164671244
16	7.495498429007067e-09	3.393034514469824	0.12370084896436725	7.486814972160085e-09	3.389315457229882	0.12291218657205367	0.0013645857919328786	5.921880833871749e-09	3.3523085647313	0.17314156924439716	0.010013897845423631	-0.005059260842340575
17	2.5589218409842262e-09	3.401784192787155	0.12273633696114415	2.5807823322060085e-09	3.3985505136453322	0.12072306594694034	0.0014842144470431865	2.02080025990734e-09	3.3630205373436652	0.17116327532672543	0.010899635470538262	-0.005167010994041673
18	8.708938710468235e-10	3.4096481284779134	0.12234410363125961	8.869148290198905e-10	3.406986548802718	0.11919490371884824	0.0015188278334701275	6.895405884196744e-10	3.373108356429544	0.16975144536338585	0.011437418506321982	-0.0052717720840984245
19	2.95900609843565e-10	3.416920878830152	0.12230344946148705	3.0410588547999163e-10	3.4148498151614	0.1181483550389551	0.001488446852305003	2.351322548630479e-10	3.382748522200823	0.16891657084760553	0.01159423946533271	-0.005363852961300273
20	1.0046735281104804e-10	3.4237863789532694	0.12246778415831594	1.0411749585453096e-10	3.4222946264504084	0.11743118433138586	0.0014096522325843363	8.013281306412156e-11	3.392100367206672	0.16851890945126935	0.011389046180250497	-0.005428135834239928
21	3.411358950525138e-11	3.43036631734388	0.1227269830443456	3.5617328387338144e-11	3.4293116475572156	0.11691206053677992	0.0013310845873597565	2.7291651090667206e-11	3.401078958050078	0.1685716400532071	0.011078318175135488	-0.005543475261481939
22	1.1578337269652474e-11	3.4366715767552	0.12313425242400831	1.2161077288958444e-11	3.4358310819389546	0.11669378411146529	0.0012780995099131336	9.267458095942095e-12	3.409572972582164	0.1697766196021649	0.010823693568185529	-0.005897053236569958
23	3.940986878721057e-12	3.442936489350219	0.123251046679231	4.168041764159384e-12	3.4421180020572977	0.1160707509379795	0.0012741742981173577	3.167029177582667e-12	3.417714337716031	0.16936655126158381	0.010783025613742944	-0.006003175112804231
24	1.3390212559140576e-12	3.448922151783088	0.12367610428905712	1.4214512642032807e-12	3.4468278634529703	0.11597571211974515	0.0016332215610042032	1.070457225797164e-12	3.4235313850313798	0.17348679531604416	0.013128601386666734	-0.007797603967228278
25	4.5068423647943894e-13	3.454306881917499	0.12544441275886384	4.793527837261544e-13	3.4568274520496463	0.11786937823700007	6.788458699347469e-05	3.6328617500974817e-13	3.4396546151010257	0.17186825720534527	0.0037093157516768075	-0.0051326358539538364
26	1.563718065087895e-13	3.4608982568290814	0.1232279349527155	1.7268527965953035e-13	3.451869166748286	0.11036408080314271	0.0036855835009941347	1.2418820128953438e-13	3.427373056745313	0.18172297109055405	0.029160190272179427	-0.015526217517565099
27	5.3941074904204604e-14	3.466690004223746	0.12186013276235334	6.024440498596744e-14	3.448705844715159	-0.004107087730409006	-0.5136746946845864	4.187043262984053e-14	3.4323958219819426	0.18346753190725745	0.030076807470610926	-0.01542255775214107
28	7.765606997897689e-14	3.4938200422411896	0.02465921369507502	-inf	nan	nan	nan	1.2547079254476733e-14	3.4305398735676897	0.20580656595369187	0.04382373756419184	-0.019281822335921107
29	1.650192324760026e-14	3.4932995466689323	0.03539708884450233	-inf	nan	nan	nan	147.96758781342098	3.5156326149691717	-0.32338998034032274	3.656157230452264	-3.9582919916312607
30	4.244538163662783e-15	3.4935113904633632	0.05810159403067835	-inf	nan	nan	nan	1.446705000638331e-15	3.4575563644561518	0.22280059087251697	0.0591814357371451	-0.031357517340243016
31	5.320138340815738e-16	3.4762897571415485	0.256177203717014	-inf	nan	nan	nan	4.77996294781902e-16	3.461104537625161	0.2555355011780463	0.08724461498845955	-0.055411844021571365
32	1.7218110574752597e-16	3.1066240745349156	0.3506633101945358	-inf	nan	nan	nan	1.638020778536715e-16	3.1068934580321375	0.3514132936733299	0.22085653015355736	-0.08663802205617162
33	-9.614380207999981e+36	2.602270552964202	-0.393506389722584	-inf	nan	nan	nan	inf	nan	nan	nan	nan
34	-9.030116591813386e-11	2.102344228180934	-3.114171259185417	-inf	nan	nan	nan	-inf	nan	nan	nan	nan
35	-3.6212245297629505e-15	2.7457456762682213	-6.115546703682827	-inf	nan	nan	nan	-inf	nan	nan	nan	nan
36	1.1569818715454462e-18	8.968598043398574	-23.989880625313234	-1.133214171272453e+305	nan	nan	nan	2.5404064145174177e+305	104.92877952431593	-862.3575833274746	-inf	nan
37	-7.859251014682695e-18	6.41616805538311	-13.26720256357035	-5.454422412963841e-19	-1.8777086278278516	-1505.4221305274496	2488.286229415488	-5.381335460809167e-19	-7.126876884102009	-2392.382102567454	3983.1884049293762	-4718.042625963044
38	2.274853514905944e-18	-5.83619886970374	-106.30261476541904	-inf	nan	nan	nan	-4.4748224110883625e+303	-163.74512257044884	-1414.3256045075218	-11463.65814968294	-inf
39	-6.671191710005417e-19	19.556714930307212	-363.6758221761163	4.8444133774728366e+306	-inf	nan	nan	6.307034636148892e+303	nan	nan	nan	nan
