nu	A2	M12	M22	A3	M13	M23	M33	A4	M14	M24	M34	M44
18	1.3423949128007541e-11	3.1032790509618167	0.16905272511224748	1.3387389418736359e-11	3.099338253323797	0.16951091240023541	0.000599868216887774	-inf	nan	nan	nan	nan
19	3.6777465527438326e-12	3.1192023768552137	0.16367425619672799	3.64517951371422e-12	3.1069985702231087	0.16504914962330072	0.001991948464057988	-inf	nan	nan	nan	nan
20	1.009489399509789e-12	3.134008610120699	0.15864151651325278	-inf	nan	nan	nan	-inf	nan	nan	nan	nan
21	2.7769530765435763e-13	3.1478405096553703	0.15369030987714732	inf	nan	nan	nan	-inf	nan	nan	nan	nan
22	7.633697476210714e-14	3.160215790667836	0.14999474009574615	inf	nan	nan	nan	-inf	nan	nan	nan	nan
23	2.1164200203243827e-14	3.174831989161698	0.14435363268933937	inf	nan	nan	nan	-inf	nan	nan	nan	nan
24	5.101529768930484e-15	3.1413292219144333	0.19012695881604444	inf	nan	nan	nan	4.906305303522013e-15	3.03388308021909	0.27576305605928925	0.0909557675337293	-0.043514585212468544
25	4.978306769059412e-15	3.382531055911124	0.047241705010859725	-inf	nan	nan	nan	-inf	nan	nan	nan	nan
26	4.183904655297323e-16	3.0534271338474013	0.04527856726286039	4.1903843193034854e-16	3.05876513154671	0.0498007250891801	0.007444507287272551	4.1968639833096476e-16	3.05876513154671	0.0498007250891801	0.007444507287272551	-0.001573217440227154
27	1.1335034834785712e-16	3.0934137070505434	0.22122009117403607	-inf	nan	nan	nan	9.002214562227073e-17	2.9923085219464594	0.33937166821466663	0.16754522035483918	-0.0759608954824123
28	4.170638785261603e-17	4.059190661588799	2.248786481673566	inf	nan	nan	nan	-inf	nan	nan	nan	nan
29	-0.0040692806111229125	2.9456922126705867	-1.2770403975244133	inf	nan	nan	nan	-inf	nan	nan	nan	nan
30	-3.786643377641715e-18	1.997036100390868	16.92103452674483	-3.741553567030219e+306	-inf	nan	nan	inf	nan	nan	nan	nan
31	1.3522572023934017e-18	10.607037360173251	-52.362625412787	-inf	nan	nan	nan	3.810754162871766e+305	135.91085649928766	-1565.3949764400281	-inf	nan
32	8.198319084052162e-18	2.8765852763161854	29.765898169747615	4.985371637912806e-17	-89.14816702335716	819.3189151650174	-49.8694953203567	2.4230165712160774e-16	-139.09098899635967	1299.0224156658908	-116.51575560658317	-16043.944072372993
33	-17343396520.285995	1.2362233108492833	-0.9652181514175908	-inf	nan	nan	nan	-inf	nan	nan	nan	nan
34	-5.076226369138915e-18	6.830139869923239	-16.40058805080263	-2.516829415141724e-19	40.79758829319777	-1660.2383343598187	1987.8020324196386	-5.984119473204229e-07	60.87657825992352	-2639.1618988329965	3186.691797077256	-3088.8868207106707
35	-8.253463538799122e-05	3.53265517108463	-1.2695017811029072	inf	nan	nan	nan	1.2966863094627095e+304	-44.36207109930398	-82.97815782445237	129.65270642655338	-inf
36	-1.0224673523149578e-17	10.924010762215925	-55.142876002850755	-6.192756144547697e+306	-inf	nan	nan	5.589172694142085e+304	137.75524077985597	-1551.4028800498043	-inf	nan
37	-3.789323203770675e-18	3.710534776193579	-20.43586771763431	1.6047006914225013e+305	-102.95565540525558	-inf	nan	-1.4652159463283114e+305	-92.26201367220378	-722.823641979085	-inf	nan
38	-3.6945334236265074e-18	13.443562675090018	-96.20614597913138	1.8402303963171883e+306	-inf	nan	nan	9.379584661540236e+304	170.96103172685727	-2203.0235222067367	-inf	nan
39	1.1118167161956988e-19	-79.71926730288337	-6660.800019641444	6.676974351897564e+306	-inf	nan	nan	-1.5702625133718291e+307	-inf	nan	nan	nan
